tools.h: Error!
Error: TAB_REPLACE_SPACE    (line:  21, col:   1):	Found tab when expecting space
Error: BRACE_NEWLINE        (line:  21, col:  27):	Expected newline before brace
Error: MISALIGNED_VAR_DECL  (line:  24, col:  13):	Misaligned variable declaration
Error: MISALIGNED_VAR_DECL  (line:  25, col:  13):	Misaligned variable declaration
Error: MISALIGNED_VAR_DECL  (line:  28, col:  13):	Misaligned variable declaration
Error: MISALIGNED_VAR_DECL  (line:  29, col:  13):	Misaligned variable declaration
Error: MISALIGNED_VAR_DECL  (line:  30, col:  13):	Misaligned variable declaration
Error: MISALIGNED_VAR_DECL  (line:  31, col:  13):	Misaligned variable declaration
Error: MISALIGNED_VAR_DECL  (line:  32, col:  13):	Misaligned variable declaration
Error: MISALIGNED_VAR_DECL  (line:  33, col:  13):	Misaligned variable declaration
Error: MISALIGNED_VAR_DECL  (line:  34, col:  13):	Misaligned variable declaration
Error: MISALIGNED_VAR_DECL  (line:  35, col:  13):	Misaligned variable declaration
Error: CONSECUTIVE_NEWLINES (line:  38, col:   1):	Consecutive newlines
Error: MISALIGNED_FUNC_DECL (line:  41, col:   5):	Misaligned function declaration
Error: MISALIGNED_FUNC_DECL (line:  42, col:   5):	Misaligned function declaration
Error: MISALIGNED_FUNC_DECL (line:  43, col:   5):	Misaligned function declaration
Error: MISALIGNED_FUNC_DECL (line:  44, col:   5):	Misaligned function declaration
Error: MISALIGNED_FUNC_DECL (line:  45, col:   5):	Misaligned function declaration
Error: MISALIGNED_FUNC_DECL (line:  46, col:   5):	Misaligned function declaration
Error: EXP_PARENTHESIS      (line:  47, col:  20):	Expected parenthesis
Error: MISALIGNED_FUNC_DECL (line:  48, col:   6):	Misaligned function declaration
Error: MISALIGNED_FUNC_DECL (line:  49, col:   6):	Misaligned function declaration
Error: SPC_AFTER_OPERATOR   (line:  61, col:  26):	missing space after operator
Error: MISALIGNED_FUNC_DECL (line:  63, col:   5):	Misaligned function declaration
